dado,valor,data_ou_referencia,grau_probatorio,fonte,observacao
"Ativos financeiros localizados na constância (SISBAJUD)","R$ 84.856.714,65","16-22/05/2023; fls. 410-424","E1","SISBAJUD/autos","Fotografia ao centavo, fé pública"
"Fotografia ANTES da resposta FRAM","R$ 7.216.349,32","18/05/2023; fls. 410","E1","autos","91,5% só apareceu após reiteração"
"Parcela revelada após reiteração FRAM","R$ 77.640.365,33","fls. 418-419","E1","autos","Conta 110486"
"Marco final da comunhão (fixado pelo juízo)","30/05/2023","fls. 1370-1373","E1","saneamento","Define a constância"
"Meação-alvo sobre acervo financeiro","R$ 42.428.357,32","fls. 490; 530","E1","decisão de bloqueio","50% do localizado"
"Bloqueio total certificado","R$ 52.932.655,22","fls. 500-508","E1","autos",""
"Revelia — contestação intempestiva","14/07/2023","fls. 1723","E1","autos","CPC 344"
"Valor patrimonial das cotas (laudo/CVM)","R$ 75.345.821,90","fls. 1733","E1","laudo/CVM","Base do confronto com a oferta vil"
"Oferta de venda das cotas na litispendência","R$ 4.778.391,19","20/08/2025; fls. 1729","E1","autos","6,3% do laudo"
"Gatilho contratual Cláusula 9.7 (saída forçada)","90 dias; piso R$ 127,04/cota + IPCA + 8%","fls. 1330","E1","Acordo de Cotistas","Cota penhorada -> oferta forçada precificada"
"Capitalização de créditos na constância","+R$ 253.000.000,00","AGE E-Vino 25/05/2022","E1 (fato) / E2 (desenho)","AGE","Volimo + XP Trafalgar"
"PL do FIP Ajaccio (CVM)","R$ 1,407 bi","informe CVM jan/2026","E1","CVM","Markup mark-to-model +99,9%"
"Caixa efetivo do FIP Ajaccio","R$ 5.812,88","informe CVM","E1","CVM","Contra PL de R$ 1,407 bi"
"Queda de cotistas do FIP","289 -> 61","sem disclosure","E1 [CONFERIR]","CVM","Sem divulgação"
"FIP Bonifácio constituído em litispendência","11/02/2025","CVM","E1 [CONFERIR]","CVM","Veículo paralelo"
"Receita E-Vino","~R$ 800 MM/ano (2026); R$ 423 MM (2020)","Money Times / acervo","E2 [CONFERIR]","imprensa","Cresce enquanto Alimentante alega receita zero"
"Alimentos estritos vigentes","R$ 6.600,00/mês","cumprimento 1007950-39","E1 [CONFERIR]","autos","Parcela confessada incontroversa R$ 66.443,47"
"Non-compete recebido pelo Alimentante","R$ 749.183,38","29/01/2025","E1 [CONFERIR]","autos/comprovante","Posterior à alegação de receita zero"
"Contrato Vila Porto Vinhos","R$ 50.000/mês","desde 01/07/2025","E1 [CONFERIR]","contrato","Renda corrente"
"Demissão da E-Vino (timing)","02/12/2024","3 dias antes da petição de receita zero (05/12/2024)","E1 [CONFERIR]","autos","Indício de construção artificial de insuficiência"
"Quantum maximalista (PACK 73) — NAO confirmado como valor","R$ 745 MM a R$ 1,38 bi","PACK 73","TESE da parte — NAO E1","relatório próprio","Construção inferencial; nao asseverar como valor estabelecido"
