data,evento,valor_R$,protocolo_ou_fls,leitura_pericial
"16/05/2023","Requisição SISBAJUD inicial","84.856.714,65","Protocolo 20230006881915; fls. 418/424","Fotografia patrimonial consolidada"
"18/05/2023","Reiteração para FRAM após não-resposta inicial","77.640.365,33","Cta 110486 / Ag. 0001","Núcleo dominante do levantamento (91,5%)"
"23/05/2023","Ordem de bloqueio de 50%","42.428.357,32","Protocolo 20230007284473","Constrição correspondente à meação"
"24-26/05/2023","Respostas das instituições e transferências parciais","10.503.164,01","Múltiplos protocolos","Conversão parcial em indisponibilidade"
"31/05/2023","Certificação judicial de bloqueio frutífero — total bloqueado","52.932.655,22","Certificado nos autos","Bloqueio efetivado em parte / FRAM em baixa liquidez"
"09/06/2022 (anterior, relevante)","OSLO realiza TED do Ajaccio para conta pessoal de Ari em <24h","11.075.439,39","Extratos OSLO","Prova que a iliquidez do FIP é SELETIVA — vale apenas contra a meeira"
"11/06/2024","BTG efetua DESBLOQUEIO administrativo INDEVIDO","2.960.039,61","Protocolo 20230007284473","Sem ordem judicial — violação de boa-fé processual"
"persistente desde 2023","BTG retém valor sem envio ao juízo há 33+ meses","31.925.193,31","ID 072023000013575779","Bloqueio efetuado mas não enviado — descumprimento"
"31/03/2026","Nova ordem SISBAJUD no conexo 0005199-67","27.799,79","Autos 0005199-67.2023","OSLO bloqueia e LIBERA em 18 horas — desmente a iliquidez alegada"
"2026 fls. 123","Bloqueio residual SISBAJUD","83.752,42","Autos 1006744-58.2023","Queda de -99,8% em relação a 2023 — núcleo da tese de esvaziamento"
