id,esfera,medida,fundamentacao,base_legal,impacto_estimado,prioridade
"R1","Cível","Execução da Cláusula 9.7.1 do Acordo de Cotistas Ajaccio — piso R$ 127,04/ação corrigido IPCA + 8% a.a. desde 25/05/2022","Permanência do bloqueio > 90 dias sem substituição idônea","Cláusulas 7.7 e 9.7.1 Acordo de Cotistas","R$ 717-765 Mi (meação 50%)",CRÍTICA
"R2","Cível","Quebra de sigilo bancário/fiscal de Ari + INFOJUD/DIRPF","Ausência de outro meio idôneo para apurar real condição financeira","STJ REsp 2.126.879/SP + STF ADI 4.709","Acesso ao fluxo bancário pessoal e patrimonial",CRÍTICA
"R3","Cível-cautelar","Indisponibilidade total das cotas Ajaccio com averbação no livro nominativo","Risco de cessão/transferência durante a apuração","CPC art. 854; CC art. 167","Impede transferência",CRÍTICA
"R4","Regulatória","PAS CVM contra OSLO Capital DTVM e KPMG","Omissão dolosa de litígio na Nota 18 + fraude à lei de condomínios","Res. CVM 175/22 arts. 21 e 24; Lei 6.385/76","Multa + suspensão de gestores",ALTA
"R5","Fiscal/AML","Representação à RFB + COAF","22 repasses E-Vino → MEI sem nota fiscal; cluster R$ 10,65 Mi","Lei 8.137/90; Lei 9.613/98","Sonegação + lavagem",ALTA
"R6","Criminal","Inquérito GAECO/MP-SP","12/12 marcadores de Shadow Director; trânsito R$ 1,86 Mi no curso do bloqueio","Lei 9.613/98 + CP art. 299 + CP art. 179","Indiciamento + bloqueio de bens",ALTA
"R7","Fiscal internacional","Ofício CVM/DRCI ao IRS via FATCA","GIIN OSLO 0W2JW5.99999.SL.076 + triangulação JP2R Singapura","IGA Modelo 1 Brasil-EUA","Auditoria transnacional",MÉDIA
"R8","BACEN","Representação por silêncio reiterado N26 SCD e BEXS Câmbio em SISBAJUD","Não-resposta sistemática a duas ordens","LC 105/01 art. 11; Res. BACEN 4.553/17","Multa + supervisão",MÉDIA
"R9","JUCESP","Certidão da AGE 31/12/2021 + cisão RT 127 (averbação março/2022)","Verificação documental da fraude","Lei 8.934/94","Documento da fraude",ALTA
"R10","Polícia Federal","Certidão de movimento migratório de Ari em 31/12/2021","Materialidade da falsidade ideológica na ata","Lei 13.445/17 art. 31; CPC art. 396","Materialidade",ALTA
"R11","BACEN/RFB","DCBE — Declaração de Capitais Brasileiros no Exterior (2020-2025)","Identificação dos veículos offshore","Lei 14.286/21 art. 60; Circular BACEN 3.857/17","Mapeamento offshore",MÉDIA
"R12","Cooperação internacional","MLAT — Singapura (JP2R) Delaware (4 LLCs) Uruguai (ACPE) Alemanha (Wine in Black)","Identificação do UBO final","Convenções bilaterais + MLAT","UBO transparente",MÉDIA
"R13","TJSP — Correição","Reclamação ou correição quanto ao BTG (retenção 33+ meses sem envio)","Bloqueio efetuado mas não enviado","CPC art. 77 IV e VI","Cumprimento obrigatório",ALTA
"R14","CFC/CRC","Representação contra KPMG (omissões nas Notas 18 e 4(f))","Falha de auditoria com efeito sobre transparência ao mercado","Res. CVM 23/14 + NBC PA","Auditoria de auditoria",MÉDIA
