numero,categoria,tipo,descricao,fonte_documental,enquadramento_juridico,prioridade
1,"Falsa iliquidez","I — Documental forte","Discurso de iliquidez (códigos 25/26) coexiste com PL R$ 1,57 bi declarado e laudo PwC","Relatório KPMG Ajaccio 30/11/2024 (Notas 6 e 4); laudo PwC FCFF 15%","Lei 11.340/06 art. 7º IV (violência patrimonial); CC art. 50",CRÍTICA
2,"Falsa iliquidez","II — Circunstancial qualificado","Discurso de iliquidez como instrumento de subtração à partilha — caracteriza violência patrimonial","Cruzamento entre Relatório KPMG e contexto familiar","Lei 11.340/06 art. 7º IV",ALTA
3,"Falsa iliquidez","II — Circunstancial qualificado","Arquitetura FIP unitário + 100% de companhia fechada única como encapsulamento patrimonial","Composição do Ajaccio FIP (Nota 4 KPMG)","CC art. 50; Resolução CVM 175/22",ALTA
4,"Empréstimos e credores","III — Para esclarecimento","Possíveis chamadas de capital do Fundo e contratos de mútuo de Ari ainda não mapeados","Nota 6 KPMG (chamadas de capital) + lacuna probatória","Diligência preparatória",MÉDIA
5,"Comprovantes Ari","I — Documental forte (se confirmado)","Pagamentos pessoais de Ari quitando obrigações do Fundo/empresa indicam confusão patrimonial","Comprovantes em poder da parte","CC art. 50 (desconsideração)",CRÍTICA
6,"Comprovantes Ari","II — Circunstancial qualificado","Transferências para Wine Black / Ari Apio Adm / offshores como rastro de capital","Comprovantes + matriz cronológica a construir","Lei 9.613/98 (lavagem)",ALTA
7,"N26 e BEXS","I — Documental forte","N26 SCD: (98) Não-Resposta duas vezes em 2023; ausente em 2026","Ordens SISBAJUD fls. 418, 490, 500","CPC art. 77 IV e VI; LC 105/01 art. 11; Res. BACEN 4.553/17",CRÍTICA
8,"N26 — canal offshore","III — Para esclarecimento","N26 como possível canal de coinvestimento Master/Feeder europeu","Lacuna probatória + perfil institucional","Lei 14.286/21 (DCBE)",CRÍTICA
9,"Wine Black","III — Para esclarecimento","Marca correlata à E-Vino com possível pulverização de receita por licenciamento","Lacuna; INPI a consultar","CC art. 50; Lei 9.279/96",ALTA
10,"Omissão contábil","I — Documental forte","Três omissões formais no Relatório KPMG: Notas 18, 4(f) e 8","Relatório KPMG Ajaccio 30/11/2024","Res. CVM 175/22; CPC 25 e 24; Lei 6.404/76 art. 176; Lei 7.492/86 art. 6º",CRÍTICA
11,"Teimosinha interrompida","I — Documental forte","Reiteração da FRAM registrada como Não enviada em 2023","fls. 493","CPC art. 77 IV e VI",ALTA
12,"Teimosinha interrompida","II — Circunstancial qualificado","Silêncio sistêmico de N26 e BEXS entre 2023 e 2026","fls. 418, 490, 500 + ausência 2026","CPC art. 77 IV e VI; Res. BACEN",CRÍTICA
13,"AGE 31/12/2021","I — Documental forte","AGE em 31/12/2021 com cisão e redução de capital (JUCESP março/22) — Ari em Miami","Nota 4 KPMG quadro Evino (3); peça suscitante","CC arts. 138-165; CPC art. 792",CRÍTICA
14,"AGE 31/12/2021","II — Circunstancial qualificado","Operação societária realizada sem oitiva de credora-meeira em pendência de família","Cruzamento entre data da AGE e processo familiar","CC art. 158-165; CPC art. 792",CRÍTICA
15,"Consentimento Millena","I — Documental forte","Conversão das ações da E-Vino sem consentimento de Millena (titular de direito real ou meeira)","Peça suscitante + documentação societária","CC arts. 1.647-1.649",CRÍTICA
16,"Análise financeira Ari","I+III — Documental e diligência","Cotejo entre IR, extratos, fundos e comprovantes — base da tese da falsa iliquidez","DIRPF; extratos a requisitar","LC 105/01; CTN; CPC art. 396",CRÍTICA
17,"Offshores Soberano/Master/Feeder","II — Circunstancial qualificado","Estrutura típica de fundo internacional combinada com omissões internas configura indício de ocultação","Termos da peça suscitante + perfil de estrutura","Lei 14.286/21 (DCBE); LC 105/01 art. 9º",ALTA
